Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Cash,Capital,InOutCash,Bench
2017-12-18,DIA,121.3246292684936,0.0,247.79,XLP,350.43084117229847,0.0,56.85,0.0,49985,0,166.993
2017-12-19,DIA,121.3246292684936,0.0,247.4,XLP,350.43084117229847,0.0,56.92,0.0,49962,0,166.053
2017-12-20,DIA,121.3246292684936,0.0,247.07,XLP,350.43084117229847,0.0,56.82,0.0,49887,0,165.883
2017-12-21,DIA,121.3246292684936,0.0,247.66,XLP,350.43084117229847,0.0,56.78,0.0,49944,0,165.90300000000002
2017-12-22,DIA,121.3246292684936,0.0,247.4,XLP,350.43084117229847,0.0,56.87,0.0,49944,0,165.723
2017-12-26,DIA,121.3246292684936,0.0,247.25,XLP,350.43084117229847,0.0,57.0,0.0,49972,0,164.87300000000002
2017-12-27,DIA,121.3246292684936,0.0,247.48,XLP,350.43084117229847,0.0,56.99,0.0,49996,0,164.893
2017-12-28,DIA,121.3246292684936,0.0,248.13,XLP,350.43084117229847,0.0,56.9,0.0,50043,0,165.083
2017-12-29,DIA,121.61359745452022,0.0,247.38,XLP,352.54903308489156,0.0,56.89,0.0,50141,0,164.113
2018-01-02,DIA,121.61359745452022,0.0,248.02,XLP,352.54903308489156,0.0,56.54,0.0,50095,0,166.84300000000002
2018-01-03,DIA,121.61359745452022,0.0,248.95,XLP,352.54903308489156,0.0,56.52,0.0,50201,0,168.383
2018-01-04,DIA,121.61359745452022,0.0,250.6,XLP,352.54903308489156,0.0,56.68,0.0,50458,0,168.663
2018-01-05,DIA,121.61359745452022,0.0,252.72,XLP,352.54903308489156,0.0,56.93,0.0,50804,0,170.273
2018-01-08,DIA,121.61359745452022,0.0,252.59,XLP,352.54903308489156,0.0,57.07,0.0,50838,0,170.90300000000002
2018-01-09,DIA,121.61359745452022,0.0,253.82,XLP,352.54903308489156,0.0,56.99,0.0,50959,0,170.913
2018-01-10,DIA,121.61359745452022,0.0,253.62,XLP,352.54903308489156,0.0,56.71,0.0,50836,0,170.53300000000002
2018-01-11,DIA,121.61359745452022,0.0,255.61,XLP,352.54903308489156,0.0,56.63,0.0,51050,0,171.643
2018-01-12,DIA,121.61359745452022,0.0,257.91,XLP,352.54903308489156,0.0,56.65,0.0,51337,0,172.84300000000002
2018-01-16,DIA,121.61359745452022,0.0,257.81,XLP,352.54903308489156,0.0,56.91,0.0,51416,0,172.37300000000002
