Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Ticker_4,Shares_4,Dividend_4,Price_4,Ticker_5,Shares_5,Dividend_5,Price_5,Ticker_6,Shares_6,Dividend_6,Price_6,Ticker_7,Shares_7,Dividend_7,Price_7,Cash,Capital,InOutCash,Bench
2017-08-14,FBT,11.907346007045957,0.0,113.87,FDN,18.648057608283565,0.0,98.32,IGV,12.970337360049216,0.0,141.32,IHI,8.40812411405963,0.0,163.87,ITA,16.77137770525466,0.0,168.87,TLT,24.154037935850276,0.0,125.78,0,0.0,0.0,0.0,-691.400045899124,11579,0,151.63500000000002
2017-08-15,FBT,11.907346007045957,0.0,114.06,FDN,18.648057608283565,0.0,98.06,IGV,12.970337360049216,0.0,141.4,IHI,8.40812411405963,0.0,163.97,ITA,16.77137770525466,0.0,168.26,TLT,24.154037935850276,0.0,125.25,0,0.0,0.0,0.0,-691.400045899124,11555,0,151.735
2017-08-16,FBT,11.907346007045957,0.0,114.1,FDN,18.648057608283565,0.0,98.59,IGV,12.970337360049216,0.0,142.88,IHI,8.40812411405963,0.0,165.0,ITA,16.77137770525466,0.0,168.16,TLT,24.154037935850276,0.0,125.71,0,0.0,0.0,0.0,-691.400045899124,11602,0,151.985
2017-08-17,FBT,11.907346007045957,0.0,112.14,FDN,18.648057608283565,0.0,96.79,IGV,12.970337360049216,0.0,140.36,IHI,8.40812411405963,0.0,163.33,ITA,16.77137770525466,0.0,165.76,TLT,24.154037935850276,0.0,126.65,0,0.0,0.0,0.0,-691.400045899124,11481,0,149.03500000000003
2017-08-18,FBT,11.907346007045957,0.0,111.76,FDN,18.648057608283565,0.0,96.96,IGV,12.970337360049216,0.0,140.3,IHI,8.40812411405963,0.0,162.72,ITA,16.77137770525466,0.0,165.61,TLT,24.154037935850276,0.0,126.62,0,0.0,0.0,0.0,-691.400045899124,11471,0,148.935
2017-08-21,FBT,11.907346007045957,0.0,112.2,FDN,18.648057608283565,0.0,96.94,IGV,12.970337360049216,0.0,141.12,IHI,8.40812411405963,0.0,163.34,ITA,16.77137770525466,0.0,165.72,TLT,24.154037935850276,0.0,126.93,0,0.0,0.0,0.0,-691.400045899124,11501,0,148.75500000000002
2017-08-22,FBT,11.907346007045957,0.0,114.56,FDN,18.648057608283565,0.0,98.54,IGV,12.970337360049216,0.0,143.56,IHI,8.40812411405963,0.0,164.72,ITA,16.77137770525466,0.0,167.63,TLT,24.154037935850276,0.0,126.44,0,0.0,0.0,0.0,-691.400045899124,11622,0,150.905
2017-08-23,FBT,11.907346007045957,0.0,113.75,FDN,18.648057608283565,0.0,98.32,IGV,12.970337360049216,0.0,142.92,IHI,8.40812411405963,0.0,162.55,ITA,16.77137770525466,0.0,167.06,TLT,24.154037935850276,0.0,127.3,0,0.0,0.0,0.0,-691.400045899124,11593,0,150.395
2017-08-24,FBT,11.907346007045957,0.0,115.3,FDN,18.648057608283565,0.0,98.51,IGV,12.970337360049216,0.0,143.19,IHI,8.40812411405963,0.0,162.41,ITA,16.77137770525466,0.0,167.1,TLT,24.154037935850276,0.0,126.83,0,0.0,0.0,0.0,-691.400045899124,11607,0,149.97500000000002
2017-08-25,FBT,11.907346007045957,0.0,114.56,FDN,18.648057608283565,0.0,97.53,IGV,12.970337360049216,0.0,143.53,IHI,8.40812411405963,0.0,162.3,ITA,16.77137770525466,0.0,166.98,TLT,24.154037935850276,0.0,127.32,0,0.0,0.0,0.0,-691.400045899124,11593,0,149.675
2017-08-28,FBT,11.907346007045957,0.0,117.95,FDN,18.648057608283565,0.0,97.72,IGV,12.970337360049216,0.0,143.72,IHI,8.40812411405963,0.0,163.28,ITA,16.77137770525466,0.0,166.66,TLT,24.154037935850276,0.0,127.24,0,0.0,0.0,0.0,-691.400045899124,11640,0,150.115
2017-08-29,FBT,11.907346007045957,0.0,119.39,FDN,18.648057608283565,0.0,98.18,IGV,12.970337360049216,0.0,143.98,IHI,8.40812411405963,0.0,163.1,ITA,16.77137770525466,0.0,169.06,TLT,24.154037935850276,0.0,127.65,0,0.0,0.0,0.0,-691.400045899124,11718,0,150.675
2017-08-30,FBT,11.907346007045957,0.0,120.95,FDN,18.648057608283565,0.0,99.37,IGV,12.970337360049216,0.0,146.02,IHI,8.40812411405963,0.0,163.75,ITA,16.77137770525466,0.0,170.0,TLT,24.154037935850276,0.0,127.61,0,0.0,0.0,0.0,-691.400045899124,11806,0,152.35500000000002
2017-08-31,FBT,11.525024219765086,0.0,124.21,FDN,18.98823794053617,0.0,100.52,IGV,12.957013629642901,0.0,147.31,IHI,8.62623234912336,0.0,165.95,ITA,16.746879484522946,0.0,170.96,TLT,24.233406722375815,0.0,127.99,0,0.0,0.0,0.0,-715.7616291685114,11929,0,153.905
2017-09-01,FBT,11.525024219765086,0.0,124.81,FDN,18.98823794053617,0.0,100.47,IGV,12.957013629642901,0.0,147.22,IHI,8.62623234912336,0.0,166.03,ITA,16.746879484522946,0.0,170.5,TLT,24.233406722375815,0.263,126.75,0,0.0,0.0,0.0,-715.7616291685114,11897,0,153.705
2017-09-05,FBT,11.525024219765086,0.0,124.13,FDN,18.98823794053617,0.0,99.76,IGV,12.957013629642901,0.0,146.72,IHI,8.62623234912336,0.0,166.07,ITA,16.746879484522946,0.0,169.01,TLT,24.233406722375815,0.0,128.76,0,0.0,0.0,0.0,-715.7616291685114,11893,0,152.395
2017-09-06,FBT,11.525024219765086,0.0,124.32,FDN,18.98823794053617,0.0,99.88,IGV,12.957013629642901,0.0,146.06,IHI,8.62623234912336,0.0,166.96,ITA,16.746879484522946,0.0,167.77,TLT,24.233406722375815,0.0,127.97,0,0.0,0.0,0.0,-715.7616291685114,11857,0,152.835
2017-09-07,FBT,11.525024219765086,0.0,124.45,FDN,18.98823794053617,0.0,100.4,IGV,12.957013629642901,0.0,147.61,IHI,8.62623234912336,0.0,167.62,ITA,16.746879484522946,0.0,168.0,TLT,24.233406722375815,0.0,129.28,0,0.0,0.0,0.0,-715.7616291685114,11929,0,153.175
2017-09-08,FBT,11.525024219765086,0.0,123.62,FDN,18.98823794053617,0.0,99.62,IGV,12.957013629642901,0.0,147.33,IHI,8.62623234912336,0.0,169.43,ITA,16.746879484522946,0.0,168.06,TLT,24.233406722375815,0.0,129.0,0,0.0,0.0,0.0,-715.7616291685114,11911,0,151.91500000000002
