Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2012-03-19,VUSTX,1108.2205474606592,0.0,12.27,0.0,13597,0,69.213
2012-03-20,VUSTX,1108.2205474606592,0.0,12.3,0.0,13631,0,69.333
2012-03-21,VUSTX,1108.2205474606592,0.0,12.43,0.0,13775,0,69.343
2012-03-22,VUSTX,1108.2205474606592,0.0,12.46,0.0,13808,0,69.203
2012-03-23,VUSTX,1108.2205474606592,0.0,12.56,0.0,13919,0,69.163
2012-03-26,VUSTX,1108.2205474606592,0.0,12.52,0.0,13874,0,70.333
2012-03-27,VUSTX,1108.2205474606592,0.0,12.59,0.0,13952,0,70.43299999999999
2012-03-28,VUSTX,1108.2205474606592,0.0,12.58,0.0,13941,0,70.163
2012-03-29,VUSTX,1108.2205474606592,0.0,12.66,0.0,14030,0,69.903
2012-03-30,VUSTX,1123.545422855288,0.0,12.33,0.0,13853,0,69.773
2012-04-02,VUSTX,1123.545422855288,0.0,12.38,0.0,13909,0,70.473
2012-04-03,VUSTX,1123.545422855288,0.0,12.19,0.0,13696,0,70.453
2012-04-04,VUSTX,1123.545422855288,0.0,12.32,0.0,13842,0,69.523
2012-04-05,VUSTX,1123.545422855288,0.0,12.41,0.0,13943,0,69.943
2012-04-09,VUSTX,1123.545422855288,0.0,12.67,0.0,14235,0,69.43299999999999
2012-04-10,VUSTX,1123.545422855288,0.0,12.79,0.0,14370,0,68.353
2012-04-11,VUSTX,1123.545422855288,0.0,12.67,0.0,14235,0,68.673
2012-04-12,VUSTX,1123.545422855288,0.0,12.62,0.0,14179,0,69.43299999999999
2012-04-13,VUSTX,1123.545422855288,0.0,12.79,0.0,14370,0,68.413
2012-04-16,VUSTX,1123.545422855288,0.0,12.79,0.0,14370,0,67.673
2012-04-17,VUSTX,1123.545422855288,0.0,12.76,0.0,14336,0,69.003
2012-04-18,VUSTX,1123.545422855288,0.0,12.8,0.0,14381,0,68.833
2012-04-19,VUSTX,1123.545422855288,0.0,12.82,0.0,14403,0,68.083
2012-04-20,VUSTX,1123.545422855288,0.0,12.81,0.0,14392,0,67.903
2012-04-23,VUSTX,1123.545422855288,0.0,12.89,0.0,14482,0,67.303
2012-04-24,VUSTX,1123.545422855288,0.0,12.81,0.0,14392,0,66.953
2012-04-25,VUSTX,1123.545422855288,0.0,12.76,0.0,14336,0,68.673
2012-04-26,VUSTX,1123.545422855288,0.0,12.82,0.0,14403,0,69.063
2012-04-27,VUSTX,1123.545422855288,0.0,12.83,0.0,14415,0,69.463
2012-04-30,VUSTX,1125.7864302958274,0.0,12.84,0.0,14455,0,68.983
2012-05-01,VUSTX,1125.7864302958274,0.0,12.78,0.0,14387,0,69.093
2012-05-02,VUSTX,1125.7864302958274,0.0,12.85,0.0,14466,0,69.283
2012-05-03,VUSTX,1125.7864302958274,0.0,12.86,0.0,14477,0,68.573
2012-05-04,VUSTX,1125.7864302958274,0.0,12.94,0.0,14567,0,66.923
2012-05-07,VUSTX,1125.7864302958274,0.0,12.95,0.0,14578,0,66.983
2012-05-08,VUSTX,1125.7864302958274,0.0,13.01,0.0,14646,0,66.743
2012-05-09,VUSTX,1125.7864302958274,0.0,13.01,0.0,14646,0,66.54299999999999
