Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2008-05-06,VUSTX,7985.607651992863,0.0,11.38,0.0,90876,0,160.24
2008-05-07,VUSTX,7985.607651992863,0.0,11.43,0.0,91275,0,157.93
2008-05-08,VUSTX,7985.607651992863,0.0,11.52,0.0,91994,0,158.4
2008-05-09,VUSTX,7985.607651992863,0.0,11.54,0.0,92153,0,157.56
2008-05-12,VUSTX,7985.607651992863,0.0,11.54,0.0,92153,0,158.98
2008-05-13,VUSTX,7985.607651992863,0.0,11.41,0.0,91115,0,158.96
2008-05-14,VUSTX,7985.607651992863,0.0,11.41,0.0,91115,0,159.5
2008-05-15,VUSTX,7985.607651992863,0.0,11.51,0.0,91914,0,160.9
2008-05-16,VUSTX,7985.607651992863,0.0,11.47,0.0,91594,0,161.07
2008-05-19,VUSTX,7985.607651992863,0.0,11.48,0.0,91674,0,161.2
2008-05-20,VUSTX,7985.607651992863,0.0,11.54,0.0,92153,0,159.98
2008-05-21,VUSTX,7985.607651992863,0.0,11.52,0.0,91994,0,157.89000000000001
2008-05-22,VUSTX,7985.607651992863,0.0,11.4,0.0,91035,0,158.25
2008-05-23,VUSTX,7985.607651992863,0.0,11.48,0.0,91674,0,156.55
2008-05-27,VUSTX,7985.607651992863,0.0,11.38,0.0,90876,0,157.42000000000002
2008-05-28,VUSTX,7985.607651992863,0.0,11.3,0.0,90237,0,157.95
2008-05-29,VUSTX,7985.607651992863,0.0,11.21,0.0,89518,0,158.65
2008-05-30,VFINX,698.060985940596,0.0,129.31,0.0,90266,0,158.84
2008-06-02,VFINX,698.060985940596,0.0,127.96,0.0,89323,0,157.49
2008-06-03,VFINX,698.060985940596,0.0,127.22,0.0,88807,0,156.75
2008-06-04,VFINX,698.060985940596,0.0,127.24,0.0,88821,0,156.77
2008-06-05,VFINX,698.060985940596,0.0,129.73,0.0,90559,0,159.26
2008-06-06,VFINX,698.060985940596,0.0,125.74,0.0,87774,0,155.27
2008-06-09,VFINX,698.060985940596,0.0,125.84,0.0,87843,0,155.37
2008-06-10,VFINX,698.060985940596,0.0,125.54,0.0,87634,0,155.07000000000002
2008-06-11,VFINX,698.060985940596,0.0,123.44,0.0,86168,0,152.97
2008-06-12,VFINX,698.060985940596,0.0,123.86,0.0,86461,0,153.39000000000001
2008-06-13,VFINX,698.060985940596,0.0,125.72,0.0,87760,0,155.25
2008-06-16,VFINX,698.060985940596,0.0,125.73,0.0,87767,0,155.26000000000002
2008-06-17,VFINX,698.060985940596,0.0,124.88,0.0,87173,0,154.41
2008-06-18,VFINX,698.060985940596,0.0,123.67,0.0,86329,0,153.20000000000002
2008-06-19,VFINX,698.060985940596,0.0,124.17,0.0,86678,0,153.70000000000002
2008-06-20,VFINX,698.060985940596,0.0,121.87,0.0,85072,0,151.4
2008-06-23,VFINX,698.060985940596,0.0,121.87,0.0,85072,0,151.4
2008-06-24,VFINX,698.060985940596,0.0,121.53,0.0,84835,0,151.06
2008-06-25,VFINX,698.060985940596,0.0,122.25,0.0,85337,0,151.78
2008-06-26,VFINX,698.060985940596,0.57,118.12,0.0,82454,0,148.22000000000003
2008-06-27,VFINX,698.060985940596,0.0,117.68,0.0,82147,0,147.78000000000003
2008-06-30,VUSTX,7223.713081922702,0.0,11.43,0.0,82567,0,147.93
2008-07-01,VUSTX,7223.713081922702,0.0,11.42,0.0,82494,0,148.41000000000003
2008-07-02,VUSTX,7223.713081922702,0.0,11.47,0.0,82855,0,146.26
2008-07-03,VUSTX,7223.713081922702,0.0,11.44,0.0,82639,0,146.39000000000001
2008-07-07,VUSTX,7223.713081922702,0.0,11.48,0.0,82928,0,145.42000000000002
2008-07-08,VUSTX,7223.713081922702,0.0,11.54,0.0,83361,0,147.43
2008-07-09,VUSTX,7223.713081922702,0.0,11.57,0.0,83578,0,144.77
2008-07-10,VUSTX,7223.713081922702,0.0,11.58,0.0,83650,0,145.57
2008-07-11,VUSTX,7223.713081922702,0.0,11.45,0.0,82711,0,144.3
2008-07-14,VUSTX,7223.713081922702,0.0,11.52,0.0,83217,0,143.27
2008-07-15,VUSTX,7223.713081922702,0.0,11.53,0.0,83289,0,142.04000000000002
2008-07-16,VUSTX,7223.713081922702,0.0,11.37,0.0,82133,0,144.86
2008-07-17,VUSTX,7223.713081922702,0.0,11.31,0.0,81700,0,146.24
2008-07-18,VUSTX,7223.713081922702,0.0,11.28,0.0,81483,0,146.28000000000003
2008-07-21,VUSTX,7223.713081922702,0.0,11.3,0.0,81627,0,146.22000000000003
2008-07-22,VUSTX,7223.713081922702,0.0,11.27,0.0,81411,0,147.79000000000002
2008-07-23,VUSTX,7223.713081922702,0.0,11.24,0.0,81194,0,148.26
2008-07-24,VUSTX,7223.713081922702,0.0,11.35,0.0,81989,0,145.53000000000003
2008-07-25,VUSTX,7223.713081922702,0.0,11.23,0.0,81122,0,146.02
2008-07-28,VUSTX,7223.713081922702,0.0,11.34,0.0,81916,0,143.86
2008-07-29,VUSTX,7223.713081922702,0.0,11.3,0.0,81627,0,146.53000000000003
